dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,52.999471,127.250000,0.007826,0.782609,39.130435,1956.521739,0.000043
0.020000,52.999649,127.250000,0.008004,0.008885,-38.686210,-3890.832224,0.000029
0.020000,53.000735,127.250000,0.009090,0.054292,2.270379,2047.829457,6.283185
0.020000,53.095180,127.249998,0.103534,4.722240,233.397384,11556.350231,6.283142
0.020000,53.221105,127.249989,0.229459,6.296243,78.700150,-7734.861703,6.283084
0.020000,53.378508,127.249967,0.386863,7.870180,78.696850,-0.165022,6.283012
0.020000,53.567389,127.249926,0.575744,9.444034,78.692729,-0.206040,6.282926
0.020000,53.787745,127.249858,0.796099,11.017790,78.687779,-0.247510,6.282826
0.020000,54.039573,127.249753,1.047928,12.591430,78.682015,-0.288200,6.282712
0.020000,54.322872,127.249601,1.331227,14.164938,78.675411,-0.330192,6.282585
0.020000,54.637638,127.249390,1.645993,15.738299,78.668007,-0.370182,6.282444
0.020000,54.983868,127.249106,1.992223,17.311494,78.659754,-0.412631,6.282290
0.020000,55.361558,127.248737,2.369913,18.884507,78.650675,-0.453973,6.282124
0.020000,55.770704,127.248266,2.779059,20.457323,78.640792,-0.494161,6.281945
0.020000,56.211302,127.247678,3.219658,22.029924,78.630071,-0.536063,6.281754
0.020000,56.683347,127.246954,3.691704,23.602295,78.618523,-0.577367,6.281552
0.020000,57.186835,127.246078,4.195192,25.174418,78.606158,-0.618283,6.281338
0.020000,57.721759,127.245030,4.730117,26.746277,78.592966,-0.659593,6.281113
0.020000,58.288115,127.243790,5.296475,28.317856,78.578936,-0.701501,6.280878
0.020000,58.885896,127.242337,5.894257,29.889138,78.564104,-0.741603,6.280634
0.020000,59.515096,127.240651,6.523459,31.460107,78.548433,-0.783549,6.280379
0.020000,60.175708,127.238711,7.184074,33.030745,78.531933,-0.824958,6.280116
0.020000,60.867725,127.236493,7.876095,34.601038,78.514612,-0.866070,6.279845
0.020000,61.591140,127.233975,8.599514,36.170967,78.496467,-0.907256,6.279566
0.020000,62.345945,127.231134,9.354325,37.740517,78.477493,-0.948671,6.279279
0.020000,63.132132,127.227948,10.140518,39.309671,78.457706,-0.989386,6.278987
0.020000,63.949693,127.224393,10.958086,40.878412,78.437076,-1.031511,6.278688
0.020000,64.798618,127.220446,11.807021,42.446725,78.415632,-1.072166,6.278385
0.020000,65.678899,127.216084,12.687313,44.014592,78.393356,-1.113802,6.278077
0.020000,66.590526,127.211285,13.598953,45.581997,78.370261,-1.154739,6.277766
0.020000,67.533490,127.206026,14.541931,47.148924,78.346337,-1.196212,6.277452
0.020000,68.507780,127.200285,15.516238,48.715356,78.321588,-1.237475,6.277136
0.020000,69.513386,127.194041,16.521864,50.281276,78.296015,-1.278648,6.276818
0.020000,70.550298,127.187273,17.558797,51.846669,78.269615,-1.319997,6.276501
0.020000,71.618503,127.179962,18.627028,53.411516,78.242393,-1.361072,6.276184
0.020000,72.717991,127.172090,19.726544,54.975803,78.214342,-1.402554,6.275868
0.020000,73.848750,127.163638,20.857334,56.539513,78.185470,-1.443630,6.275555
0.020000,75.010767,127.154591,22.019386,58.102628,78.155771,-1.484920,6.275246
0.020000,76.204031,127.144933,23.212689,59.665133,78.125248,-1.526161,6.274941
0.020000,77.428528,127.134653,24.437229,61.227011,78.093901,-1.567365,6.274641
0.020000,78.684245,127.123738,25.692994,62.788246,78.061728,-1.608623,6.274348
0.020000,79.971170,127.112179,26.979971,64.348820,78.028732,-1.649800,6.274062
0.020000,81.289287,127.099970,28.298145,65.908719,77.994911,-1.691080,6.273786
0.020000,82.638585,127.087104,29.647504,67.467924,77.960265,-1.732285,6.273519
0.020000,84.019047,127.073581,31.028032,69.026420,77.924797,-1.773384,6.273262
0.020000,85.430659,127.059398,32.439716,70.584190,77.888502,-1.814782,6.273018
0.020000,86.865567,127.044643,33.874699,71.749177,58.249366,-981.956791,6.272789
0.020000,88.308080,127.029491,35.317292,72.129644,19.023365,-1961.300042,6.272577
0.020000,89.750358,127.014049,36.759652,72.118008,-0.581812,-980.258840,6.272385
0.020000,91.192400,126.998346,38.201780,72.106372,-0.581809,0.000122,6.272211
0.020000,92.634206,126.982409,39.643674,72.094736,-0.581807,0.000096,6.272056
0.020000,94.075778,126.966266,41.085336,72.083100,-0.581806,0.000066,6.271921
0.020000,95.517115,126.949943,42.526766,72.071464,-0.581802,0.000203,6.271804
0.020000,96.958217,126.933468,43.967962,72.059828,-0.581800,0.000098,6.271706
0.020000,98.399085,126.916869,45.408926,72.048192,-0.581799,0.000063,6.271628
