dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.000529,102.750000,0.007826,0.782609,39.130435,1956.521739,0.000043
0.020000,53.000351,102.750000,0.008004,0.008885,-38.686210,-3890.832224,0.000029
0.020000,53.000727,102.750000,0.008380,0.018787,0.495128,1959.066887,6.283185
0.020000,53.094108,102.749998,0.101761,4.669065,232.513880,11600.937611,6.283142
0.020000,53.218618,102.749989,0.226271,6.225497,77.821592,-7734.614412,6.283084
0.020000,53.374258,102.749967,0.381911,7.781994,77.824886,0.164718,6.283012
0.020000,53.561029,102.749927,0.568682,9.338574,77.829009,0.206138,6.282926
0.020000,53.778934,102.749860,0.786587,10.895253,77.833951,0.247115,6.282826
0.020000,54.027975,102.749756,1.035628,12.452048,77.839729,0.288870,6.282712
0.020000,54.308155,102.749605,1.315808,14.008974,77.846316,0.329341,6.282585
0.020000,54.619476,102.749396,1.627129,15.566049,77.853752,0.371800,6.282444
0.020000,54.961941,102.749116,1.969594,17.123289,77.861988,0.411831,6.282290
0.020000,55.335555,102.748751,2.343209,18.680710,77.871048,0.452965,6.282124
0.020000,55.740322,102.748285,2.747975,20.238329,77.880953,0.495247,6.281945
0.020000,56.176244,102.747703,3.183898,21.796163,77.891669,0.535841,6.281754
0.020000,56.643328,102.746987,3.650983,23.354227,77.903210,0.577032,6.281552
0.020000,57.141578,102.746120,4.149234,24.912538,77.915582,0.618616,6.281338
0.020000,57.671000,102.745082,4.678656,26.471114,77.928779,0.659816,6.281113
0.020000,58.231598,102.743855,5.239255,28.029970,77.942787,0.700430,6.280878
0.020000,58.823378,102.742417,5.831038,29.589123,77.957644,0.742837,6.280634
0.020000,59.446348,102.740748,6.454010,31.148589,77.973312,0.783424,6.280379
0.020000,60.100513,102.738826,7.108177,32.708385,77.989803,0.824548,6.280116
0.020000,60.785880,102.736629,7.793548,34.268527,78.007123,0.865970,6.279845
0.020000,61.502456,102.734135,8.510129,35.829033,78.025269,0.907320,6.279566
0.020000,62.250249,102.731321,9.257927,37.389917,78.044238,0.948446,6.279279
0.020000,63.029267,102.728164,10.036951,38.951198,78.064043,0.990266,6.278987
0.020000,63.839517,102.724641,10.847209,40.512892,78.084657,1.030689,6.278688
0.020000,64.681008,102.720728,11.688709,42.075014,78.106109,1.072568,6.278385
0.020000,65.553749,102.716404,12.561461,43.637581,78.128378,1.113472,6.278077
